statvalue,statementid
Q145780,1
Q145794,1
Q1458444,1
Q1458465,1
Q1458711,1
Q1460232,1
Q1460420,1
Q146078,1
Q1460816,2
Q1461063,1
Q14620,6
Q146212,1
Q14623772,10
Q146243,1
Q146281,1
Q1463003,1
Q146368,1
Q1463858,1
Q1464168,1
Q1464545,1
Q1465214,3
Q146555,1
Q1467769,2
Q146786,4
Q1468193,1
Q1471749,2
Q1472071,1
Q1472399,1
Q1472602,2
Q1473106,2
Q1474251,2
Q1474440,1
Q1474477,1
Q1474521,2
Q1474542,2
Q1474636,1
Q1474701,1
Q147516,2
Q147545,2
Q1476018,1
Q1478218,1
Q1478338,1
Q1478451,1
Q1479544,1
Q1480945,2
Q1481938,1
Q1482427,1
Q1484022,1
Q148484,1
Q1485102,1
Q14865533,2
Q14876644,1
Q149013,4
Q14907282,1
Q14915018,2
Q14916053,2
Q1494444,1
Q1494744,1
Q1495118,2
Q149527,1
Q1495452,3
Q1496019,1
Q149622,1
Q1496376,1
Q1498180,1
Q1500347,1
Q1500906,1
Q1501067,2
Q150117,1
Q1501203,1
Q150129,1
Q1501412,1
Q1501559,1
Q1501648,1
Q1501871,1
Q15020841,23
Q1502787,2
Q15028,5
Q15028038,2
Q1503147,1
Q15046077,3
Q15054121,1
Q150582,1
Q15059635,1
Q150737,3
Q15077368,1
Q15079592,2
Q1508277,3
Q15083,1
Q150988,1
Q151,2
Q15100572,1
Q15111680,2
Q1511216,3
Q151128,1
Q1511442,1
Q15114930,1
Q1512041,1
Q151250,2
Q1513048,1
Q1513515,2
Q1513543,1
Q1513832,1
Q1513949,1
Q15139812,4
Q15141485,1
Q1514186,1
Q151480,1
Q1515065,1
Q1515757,4
Q1516282,3
Q1516481,1
Q1516657,1
Q1516929,1
Q1517320,1
Q1517398,1
Q15176415,3
Q1517792,1
Q1517802,6
Q1517895,1
Q1518347,4
Q1518866,1
Q151964,2
Q151968,1
Q152,16
Q152024,1
Q152074,1
Q152100,1
Q1521260,1
Q15220429,39
Q1522168,2
Q152234,4
Q152263,1
Q152282,1
Q152285,2
Q152311,1
Q1523267,1
Q15233459,2
Q152357,3
Q15240969,1
Q1524947,1
Q1526115,1
Q15262461,1
Q1526584,1
Q152665,3
Q15267437,1
Q1526814,1
Q1527264,4
Q15276545,1
Q1527956,5
Q15284664,1
Q1528833,1
Q1529430,2
Q1530195,2
Q15304597,6
Q15304638,1
Q15311343,1
Q1532215,1
Q153564,1
Q1537534,1
Q1537773,1
Q1538835,1
Q154021,1
Q154069,3
Q1541535,1
Q1541552,1
Q1541578,1
Q1542861,1
Q1543464,1
Q1543615,1
Q1543962,4
Q1544041,1
Q1544356,5
Q154482,12
Q1544924,1
Q1545397,1
Q154554,4
Q1545847,1
Q1546073,1
Q1546822,1
Q1547148,1
Q15473066,1
Q1547362,1
Q154755,8
Q15477165,2
Q154797,2
Q1548262,1
Q1549393,2
Q1549421,3
Q154958,2
Q1549808,1
Q1551695,3
Q155186,1
Q1553864,2
Q1554362,4
Q15545584,2
Q15546643,1
Q15571255,1
Q155792,1
Q1558475,1
Q1558681,1
Q1559695,40
Q1560099,1
Q1561361,1
Q1561683,3
Q15618637,1
Q15619176,6
Q15619260,1
Q15621527,1
Q1562386,1
Q156267,1
Q15630508,29
Q15635237,1
Q156354,1
Q156389,1
Q15648179,1
Q1566,2
Q156611,1
Q156705,2
Q1567371,1
Q1568153,1
Q1568160,3
Q15682104,7
Q1568655,1
Q1568940,2
Q1569950,1
Q1570159,1
Q1570349,1
Q1570662,1
Q1570682,1
Q157069,1
Q1570700,1
Q1571008,1
Q157139,1
Q15718182,13
Q1571949,1
Q15720871,1
Q15725543,1
Q15728,1
Q1572895,1
Q15730331,5
Q15734194,1
Q1574228,1
Q1576430,1
Q15777,3
Q1577825,1
Q1578,7
Q15783,2
Q1578310,1
Q15787,2
Q15788,3
Q15802235,1
Q1580844,1
Q15811098,1
Q15811980,2
Q1581290,2
Q15815579,1
Q1582250,1
Q15823512,1
Q15829892,1
Q15838041,3
Q15840335,1
Q1584192,2
Q15846555,1
Q1586573,1
Q1587588,1
Q158790,2
Q15898201,2
Q15905320,1
Q15918345,1
Q15918429,6
Q15921870,1
Q15921881,2
Q159318,1
Q1594855,1
Q15951083,1
Q1596387,1
Q15965361,3
Q15965930,1
Q15972349,1
Q15974725,1
Q15974799,2
Q15974883,4
Q15974887,2
Q159766,1
Q15978876,3
Q15980804,14
Q159964,8
Q16001535,2
Q16009129,1
Q160112,2
Q16023913,4
Q16024058,2
Q1603724,1
Q16039692,1
Q160398,1
Q1604791,1
Q16056486,1
Q160571,1
Q16061881,1
Q160695,1
Q16070731,1
Q16075298,1
Q160894,1
Q16102139,1
Q161064,2
Q161081,1
Q1610966,8
Q16111290,1
Q1612699,1
Q161272,1
Q161414,1
Q16144339,4
Q16147904,1
Q16149491,1
Q161500,1
Q16152061,1
Q16157852,1
Q161598,3
Q161618,1
Q161635,1
Q161652,4
Q1616724,1
Q1616828,4
Q161696,1
Q16172899,1
Q161736,1
Q1624047,1
Q16242628,1
Q16244900,1
Q1625040,3
Q16251533,1
Q162528,1
Q162555,4
Q16259746,1
Q162657,2
Q1627219,1
Q1627377,2
Q16275218,2
Q1627719,1
Q16278508,2
Q16281700,1
Q16281726,1
Q162869,1
Q1628979,1
Q16290295,2
Q162908,2
