"statvalue","noinstances"
"Q1060108",1
"Q1060280",1
"Q1060330",1
"Q106039",1
"Q1060449",3
"Q1060455",40
"Q1060532",21
"Q1060653",2
"Q1060750",8
"Q1060764",1
"Q10607892",1
"Q10607894",1
"Q10608125",6
"Q1060822",1
"Q1060829",293
"Q1060855",1
"Q1060874",2
"Q106094",2
"Q10609760",3
"Q10609771",1
"Q106106",268
"Q1061108",19
"Q10611118",1
"Q1061151",160
"Q1061172",5
"Q1061197",42
"Q1061251",1
"Q1061281",1
"Q1061403",2
"Q10614739",1
"Q10615343",1
"Q10616395",2
"Q1061648",12
"Q10616716",1
"Q10617810",23
"Q1061896",1
"Q1061971",1
"Q1062083",6
"Q1062135",9
"Q1062138",19
"Q1062169",2
"Q1062177",1
"Q1062234",2
"Q1062242",1
"Q1062293",10
"Q10623225",1
"Q1062332",3
"Q1062345",8
"Q1062352",16
"Q1062404",9
"Q1062445",3
"Q10624464",1
"Q10624527",94
"Q10624764",3
"Q1062491",1
"Q1062509",1
"Q10625734",1
"Q106259",1638
"Q1062593",67
"Q10626050",1
"Q1062710",237
"Q10627714",2
"Q1062780",8
"Q1062856",33
"Q1062978",1
"Q1062990",4
"Q10630822",3
"Q1063096",3
"Q10631691",19
"Q1063239",1
"Q1063287",2
"Q1063423",11
"Q1063430",14
"Q1063457",7
"Q1063470",1
"Q1063547",63
"Q1063558",1
"Q106370",2
"Q1063801",3
"Q10638260",1
"Q10638581",21
"Q10638782",98
"Q1064041",1
"Q1064063",1
"Q106410",1
"Q106416",1
"Q1064242",2
"Q1064349",2
"Q1064392",6
"Q1064394",5
"Q1064538",9
"Q1064548",1
"Q1064584",2
"Q1064669",2
"Q10648343",2162
"Q10648447",9
"Q1064858",4
"Q1064904",8
"Q1064905",3
"Q1064958",1
"Q1064975",1
"Q1065",8
"Q10650367",1
"Q1065118",811
"Q10651185",1
"Q1065127",1
"Q1065252",42
"Q1065322",1
"Q1065338",1
"Q1065367",203
"Q1065413",6
"Q1065441",1
"Q1065444",1
"Q10655185",24
"Q10655196",3
"Q10655253",1
"Q10655255",1
"Q1065579",47
"Q1065592",27
"Q1065594",1
"Q1065656",33
"Q1065742",7
"Q10657813",1117
"Q10660033",1
"Q1066033",1
"Q1066172",8
"Q1066288",25
"Q1066330",16
"Q1066538",4
"Q106658",296
"Q10666337",83
"Q10666342",8
"Q1066670",257
"Q1066689",1
"Q1066707",27
"Q10668296",1
"Q10669269",5
"Q10669274",5
"Q106693",1
"Q10669499",1
"Q10669537",2
"Q1066984",13
"Q1066997",221
"Q1067072",2
"Q10670720",1
"Q1067107",53
"Q1067116",8
"Q1067164",819
"Q10671833",2
"Q1067203",1
"Q1067247",1
"Q1067263",2
"Q1067316",2
"Q10673626",1
"Q1067402",1
"Q1067440",1
"Q10674551",8
"Q10675206",25
"Q1067529",1
"Q10676514",4
"Q10676733",1
"Q1067715",1
"Q10677154",1
"Q10677234",1
"Q10677800",1
"Q10677830",1
"Q1067825",1
"Q1067867",6
"Q1067869",1
"Q1067958",6
"Q10680364",3
"Q1068071",119
"Q10680894",2
"Q1068126",8
"Q10682315",1
"Q106833",9
"Q1068361",3
"Q1068422",1
"Q1068473",21
"Q10684874",1
"Q10685476",7
"Q10685482",4
"Q10685952",14
"Q10686037",1
"Q1068623",57
"Q1068636",5
"Q1068640",1
"Q10686467",2
"Q1068673",29
"Q1068705",9
"Q1068715",3
"Q1068763",33
"Q10687729",5
"Q1068809",1
"Q1068824",62
"Q1068842",879
"Q1068902",1
"Q10689397",483
"Q1069",16
"Q10690144",1
"Q1069042",3
"Q1069116",66
"Q1069160",2
"Q10692566",14
"Q1069300",4
"Q1069313",62
"Q1069525",2
"Q1069604",1
"Q1069641",1
"Q1069698",5
"Q1069725",2
"Q10698266",1
"Q1069840",1
"Q1069873",8
"Q1069891",1
"Q1069928",1
"Q1069932",1
"Q1069967",3
"Q1069998",2
"Q107",10
"Q1070016",3
"Q107013",7
"Q1070167",11
"Q1070186",2
"Q1070216",1
"Q107027",4
"Q1070290",85
"Q10703259",11
"Q1070414",13
"Q1070421",3
"Q1070427",1
"Q1070438",2
"Q1070521",9
"Q107061",1
"Q1070632",3
"Q1070669",8
"Q1070782",4
"Q1070855",1
"Q1070901",19
"Q1070912",1101
"Q1070938",3
"Q1070942",276
"Q1070955",1
"Q107099",1
"Q1070990",319
"Q1071",11
"Q1071015",7
"Q1071027",67
"Q10711413",25
"Q10711415",1
"Q10711527",1
"Q1071160",1
"Q10712098",5
"Q1071233",10
"Q1071285",42
"Q10713454",1
"Q1071351",29
"Q1071357",10
"Q10713589",11
"Q1071396",1
"Q10714707",1
"Q1071482",181
"Q10715094",6
"Q1071523",9
"Q10715540",4
"Q10716255",1
"Q10717535",2
"Q1071822",39
"Q1071902",1
"Q10719543",1
"Q10719961",18
"Q10720975",5
"Q1072166",15
"Q107231",1
"Q1072319",9
"Q1072326",57
"Q1072363",7
"Q10723813",2
"Q1072576",1
"Q10726046",2
"Q1072684",4
"Q1072723",2
"Q1072763",1
"Q1072807",5
"Q1072840",1
"Q1072884",3
"Q1072897",2
"Q10729326",6
"Q1072961",3
"Q10729872",95
"Q10729920",2
"Q1073",1
"Q1073015",10
"Q10730962",1
"Q1073138",1
"Q1073174",1
"Q1073205",4
"Q10732476",9
"Q1073307",4
"Q1073343",1
"Q1073355",27
"Q10734",9
"Q1073408",1
"Q1073467",1
"Q1073492",1
"Q1073535",3
"Q1073579",7
"Q1073647",1
"Q10737",14
"Q1073723",3
"Q1073735",36
"Q1073768",1
"Q1073847",1
"Q107390",27
"Q1073905",1
"Q107391",1
"Q1073977",2
