s,g1
http://www.wikidata.org/entity/Q707419,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q232358,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q388209,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q745438,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q133993,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q7920194,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q256356,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q638147,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1582250,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q2576226,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q483213,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1656943,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q736995,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1422057,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1431311,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q463418,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q501908,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1512017,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q239972,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q103142,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q6498170,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q5198264,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1889778,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1552748,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1322802,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q2272222,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q189218,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q105499,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q1073818,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q616071,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#BiologicalObject
http://www.wikidata.org/entity/Q12956616,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#DesignedArtifact
